     diagonalizing the dynamical matrix ...

 q =       0.0000      0.0000      0.0000
 **************************************************************************
     freq (    1) =      -0.112759 [THz] =      -3.761229 [cm-1]
 ( -0.051535   0.000000    -0.115488   0.000000    -0.016261   0.000000   )
 (  0.051535   0.000000     0.115488   0.000000    -0.016261   0.000000   )
 (  0.051535   0.000000    -0.115488   0.000000     0.016261   0.000000   )
 ( -0.051535   0.000000     0.115488   0.000000     0.016261   0.000000   )
 ( -0.030394   0.000000    -0.111220   0.000000    -0.048657   0.000000   )
 (  0.030394   0.000000     0.111220   0.000000    -0.048657   0.000000   )
 (  0.030394   0.000000    -0.111220   0.000000     0.048657   0.000000   )
 ( -0.030394   0.000000     0.111220   0.000000     0.048657   0.000000   )
 ( -0.017226   0.000000    -0.102845   0.000000     0.006162   0.000000   )
 (  0.017226   0.000000     0.102845   0.000000     0.006162   0.000000   )
 (  0.017226   0.000000    -0.102845   0.000000    -0.006162   0.000000   )
 ( -0.017226   0.000000     0.102845   0.000000    -0.006162   0.000000   )
 ( -0.035324   0.000000    -0.104724   0.000000     0.009101   0.000000   )
 (  0.035324   0.000000     0.104724   0.000000     0.009101   0.000000   )
 (  0.035324   0.000000    -0.104724   0.000000    -0.009101   0.000000   )
 ( -0.035324   0.000000     0.104724   0.000000    -0.009101   0.000000   )
 ( -0.020557   0.000000    -0.119614   0.000000     0.015342   0.000000   )
 (  0.020557   0.000000     0.119614   0.000000     0.015342   0.000000   )
 (  0.020557   0.000000    -0.119614   0.000000    -0.015342   0.000000   )
 ( -0.020557   0.000000     0.119614   0.000000    -0.015342   0.000000   )
 ( -0.040913   0.000000    -0.135721   0.000000     0.024023   0.000000   )
 (  0.040913   0.000000     0.135721   0.000000     0.024023   0.000000   )
 (  0.040913   0.000000    -0.135721   0.000000    -0.024023   0.000000   )
 ( -0.040913   0.000000     0.135721   0.000000    -0.024023   0.000000   )
 ( -0.013146   0.000000    -0.068420   0.000000    -0.016367   0.000000   )
 (  0.013146   0.000000     0.068420   0.000000    -0.016367   0.000000   )
 (  0.013146   0.000000    -0.068420   0.000000     0.016367   0.000000   )
 ( -0.013146   0.000000     0.068420   0.000000     0.016367   0.000000   )
 (  0.031099   0.000000    -0.139146   0.000000    -0.014423   0.000000   )
 ( -0.031099   0.000000     0.139146   0.000000    -0.014423   0.000000   )
 ( -0.031099   0.000000    -0.139146   0.000000     0.014423   0.000000   )
 (  0.031099   0.000000     0.139146   0.000000     0.014423   0.000000   )
 ( -0.002194   0.000000    -0.082812   0.000000    -0.001719   0.000000   )
 (  0.002194   0.000000     0.082812   0.000000    -0.001719   0.000000   )
 (  0.002194   0.000000    -0.082812   0.000000     0.001719   0.000000   )
 ( -0.002194   0.000000     0.082812   0.000000     0.001719   0.000000   )
 ( -0.002677   0.000000    -0.091310   0.000000    -0.025874   0.000000   )
 (  0.002677   0.000000     0.091310   0.000000    -0.025874   0.000000   )
